epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,768.277,1.46019,0.67077,1.3771,0.9184,0.94884,0.97806,0.56563,1.67508,0.62572,1.56748,0.005743,0.005743,0.005743
45,785.432,1.42991,0.65752,1.36675,0.96989,0.93506,0.97836,0.54797,1.67992,0.60537,1.56146,0.005644,0.005644,0.005644
46,802.764,1.43181,0.64281,1.35961,0.95557,0.93864,0.97298,0.53614,1.69411,0.62848,1.57709,0.005545,0.005545,0.005545
47,820.027,1.41672,0.65583,1.35096,0.92022,0.93513,0.97268,0.54359,1.67619,0.61015,1.56616,0.005446,0.005446,0.005446
48,837.21,1.41622,0.6452,1.36305,0.92858,0.93233,0.97298,0.543,1.68958,0.61155,1.56433,0.005347,0.005347,0.005347
49,854.621,1.42209,0.64925,1.35912,0.94381,0.92128,0.97567,0.54969,1.71525,0.60576,1.58619,0.005248,0.005248,0.005248
50,871.825,1.42765,0.64225,1.37381,0.92787,0.93843,0.97623,0.54343,1.72074,0.61105,1.59113,0.005149,0.005149,0.005149
51,889.083,1.43008,0.6507,1.36855,0.95612,0.92017,0.97755,0.54731,1.69606,0.61354,1.58139,0.00505,0.00505,0.00505
52,906.301,1.40501,0.6422,1.33099,0.94922,0.92345,0.96904,0.55321,1.71406,0.61061,1.59508,0.004951,0.004951,0.004951
53,923.396,1.39985,0.63814,1.34742,0.96434,0.90701,0.96685,0.5377,1.72673,0.61717,1.59723,0.004852,0.004852,0.004852
54,940.486,1.41604,0.64578,1.3563,0.91334,0.96288,0.97118,0.54386,1.67666,0.61771,1.57355,0.004753,0.004753,0.004753
55,957.67,1.41487,0.63986,1.35779,0.95011,0.9354,0.97316,0.52981,1.70287,0.60543,1.58406,0.004654,0.004654,0.004654
56,974.876,1.38732,0.62455,1.3512,0.96851,0.91046,0.97446,0.56018,1.67785,0.5921,1.55348,0.004555,0.004555,0.004555
57,991.933,1.38399,0.62496,1.32703,0.95113,0.93449,0.9782,0.55681,1.68984,0.58581,1.58456,0.004456,0.004456,0.004456
58,1009.08,1.40139,0.63067,1.3364,0.92082,0.95827,0.97272,0.5486,1.65738,0.58377,1.54447,0.004357,0.004357,0.004357
59,1026.18,1.37894,0.61436,1.33877,0.94409,0.93978,0.98041,0.55151,1.70604,0.60517,1.5764,0.004258,0.004258,0.004258
60,1043.54,1.40085,0.62085,1.33766,0.89795,0.92354,0.97302,0.54092,1.70499,0.59981,1.57438,0.004159,0.004159,0.004159
61,1060.64,1.3805,0.60737,1.33426,0.90928,0.93856,0.97971,0.55828,1.68515,0.59667,1.56353,0.00406,0.00406,0.00406
62,1077.72,1.38433,0.61912,1.33696,0.9546,0.87711,0.9568,0.53647,1.73631,0.62627,1.58859,0.003961,0.003961,0.003961
63,1094.97,1.38717,0.61305,1.3273,0.93853,0.92794,0.97405,0.53683,1.69161,0.59039,1.56992,0.003862,0.003862,0.003862
64,1112.11,1.39263,0.61565,1.33715,0.95009,0.94385,0.97945,0.54942,1.69189,0.58925,1.57402,0.003763,0.003763,0.003763
65,1129.3,1.39388,0.60649,1.33283,0.9538,0.9558,0.98248,0.57176,1.65921,0.57851,1.5461,0.003664,0.003664,0.003664
66,1146.5,1.38134,0.61034,1.32663,0.9218,0.92904,0.96055,0.55046,1.6511,0.57232,1.5447,0.003565,0.003565,0.003565
67,1163.66,1.36531,0.61841,1.32163,0.92106,0.93778,0.9642,0.53348,1.67375,0.58344,1.56746,0.003466,0.003466,0.003466
68,1180.79,1.35966,0.60078,1.31122,0.9448,0.95987,0.98194,0.53841,1.69799,0.58619,1.5762,0.003367,0.003367,0.003367
69,1197.99,1.37827,0.60433,1.32842,0.92541,0.95061,0.97638,0.55154,1.67577,0.58075,1.56446,0.003268,0.003268,0.003268
70,1215.43,1.37529,0.60311,1.33014,0.94258,0.95615,0.97724,0.5412,1.6559,0.56683,1.54382,0.003169,0.003169,0.003169
71,1232.56,1.36541,0.59002,1.32162,0.9373,0.95506,0.97629,0.54188,1.6828,0.58318,1.56231,0.00307,0.00307,0.00307
72,1249.68,1.36417,0.59647,1.32014,0.90895,0.95813,0.97784,0.55371,1.69779,0.58495,1.57007,0.002971,0.002971,0.002971
73,1266.77,1.35551,0.59026,1.31728,0.94407,0.92016,0.97125,0.54031,1.68462,0.57066,1.56565,0.002872,0.002872,0.002872
74,1283.87,1.35286,0.59292,1.30696,0.89604,0.92154,0.95767,0.5463,1.67319,0.57507,1.56346,0.002773,0.002773,0.002773
75,1300.97,1.36347,0.59358,1.32008,0.94511,0.95009,0.97661,0.55032,1.68925,0.58402,1.56883,0.002674,0.002674,0.002674
76,1318.11,1.36635,0.6015,1.32138,0.93446,0.93144,0.97704,0.54655,1.66636,0.56388,1.55329,0.002575,0.002575,0.002575
77,1335.26,1.35278,0.58304,1.31146,0.92663,0.94534,0.97881,0.56449,1.67162,0.55951,1.55753,0.002476,0.002476,0.002476
78,1352.43,1.33793,0.58252,1.30985,0.9308,0.93917,0.97645,0.55163,1.6672,0.56654,1.55687,0.002377,0.002377,0.002377
79,1369.73,1.3427,0.58369,1.31502,0.94552,0.94414,0.97783,0.5497,1.6826,0.55689,1.56739,0.002278,0.002278,0.002278
80,1387.17,1.32518,0.56771,1.29464,0.91812,0.95784,0.98036,0.5502,1.68921,0.56701,1.56828,0.002179,0.002179,0.002179
81,1404.32,1.36695,0.5842,1.31146,0.90851,0.9719,0.98084,0.56077,1.67095,0.55448,1.55213,0.00208,0.00208,0.00208
82,1421.48,1.33973,0.57465,1.30227,0.92504,0.96606,0.9815,0.56329,1.67258,0.55832,1.55885,0.001981,0.001981,0.001981
83,1438.61,1.34119,0.57058,1.29491,0.96661,0.9335,0.98134,0.56403,1.67604,0.55501,1.56118,0.001882,0.001882,0.001882
84,1455.69,1.33408,0.56608,1.29981,0.92569,0.95243,0.98177,0.57061,1.65598,0.55085,1.54582,0.001783,0.001783,0.001783
85,1472.82,1.33799,0.57856,1.30646,0.95762,0.92715,0.98031,0.56602,1.63731,0.54877,1.53472,0.001684,0.001684,0.001684
86,1489.95,1.32363,0.5668,1.29494,0.94418,0.92965,0.97842,0.55888,1.65246,0.54492,1.54767,0.001585,0.001585,0.001585
87,1507.14,1.32601,0.55834,1.30339,0.96479,0.92033,0.98094,0.57105,1.66292,0.54993,1.54626,0.001486,0.001486,0.001486
88,1524.28,1.318,0.55519,1.30291,0.96822,0.93338,0.97953,0.55894,1.69278,0.55781,1.57268,0.001387,0.001387,0.001387
89,1541.34,1.33868,0.56164,1.30362,0.9458,0.95426,0.98199,0.57535,1.66348,0.55131,1.55643,0.001288,0.001288,0.001288
90,1558.76,1.31163,0.55641,1.2895,0.94401,0.92924,0.97755,0.55988,1.68581,0.55245,1.56485,0.001189,0.001189,0.001189
91,1576.97,1.32418,0.51864,1.37395,0.95248,0.9599,0.98253,0.56674,1.67359,0.55866,1.55498,0.00109,0.00109,0.00109
92,1593.94,1.31075,0.50988,1.36772,0.94028,0.96464,0.98192,0.56922,1.67567,0.54614,1.56129,0.000991,0.000991,0.000991
93,1610.94,1.3132,0.5017,1.36559,0.94638,0.95266,0.98058,0.56784,1.67885,0.5479,1.56028,0.000892,0.000892,0.000892
94,1627.93,1.30187,0.50252,1.34674,0.95172,0.94582,0.97771,0.5682,1.66963,0.54989,1.55675,0.000793,0.000793,0.000793
95,1644.88,1.29884,0.49866,1.37401,0.92016,0.97561,0.97993,0.56857,1.67214,0.547,1.55879,0.000694,0.000694,0.000694
96,1661.84,1.29358,0.49619,1.35087,0.9302,0.93892,0.97324,0.56308,1.67499,0.5515,1.56073,0.000595,0.000595,0.000595
97,1678.89,1.29374,0.49626,1.36264,0.93569,0.96141,0.9806,0.57189,1.67912,0.54614,1.5596,0.000496,0.000496,0.000496
98,1695.84,1.27922,0.49342,1.34356,0.93709,0.95607,0.97609,0.56861,1.65938,0.54466,1.54998,0.000397,0.000397,0.000397
99,1712.84,1.28472,0.49186,1.34228,0.95449,0.93414,0.97581,0.56708,1.67003,0.54417,1.5573,0.000298,0.000298,0.000298
100,1730.16,1.28219,0.49257,1.35063,0.94677,0.93356,0.97518,0.57019,1.66842,0.54385,1.5565,0.000199,0.000199,0.000199
